"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
18,40.69208,-73.96525,29,1,2,2,0,1,1,0,0,">  $100"
176,40.73084,-74.00431,1,1,1,1,0,0,1,0,0,">  $100"
18,40.67573,-73.99878,1,1,2,2,0,0,1,0,0,">  $100"
80,40.81177,-73.95139,1,1,2,4,0,0,1,0,0,">  $100"
18,40.70447,-73.98754,23,1,1,1,0,1,1,0,0,">  $100"
6,40.63463,-74.03621,21,2,3,3,0,1,1,0,0,">  $100"
80,40.81062,-73.96015,1,1,1,2,0,0,1,0,0,"$50  AND $100"
101,40.75136,-73.97076,1,1,1,1,0,0,0,1,0,">  $100"
101,40.7855799999999,-73.97251,1,1,1,2,1,1,1,0,0,">  $100"
167,40.76896,-73.95898,1,1,1,1,0,1,0,1,0,"$50  AND $100"
18,40.68924,-73.9681,1,2,4,4,0,0,1,0,0,">  $100"
32,40.6877099999999,-73.96186,23,2,2,2,0,0,1,0,0,">  $100"
18,40.6803,-73.96059,1,1,2,2,0,0,1,0,0,">  $100"
136,40.74361,-73.91662,1,1,2,5,0,1,1,0,0,">  $100"
18,40.68532,-73.92429,21,1,1,1,1,1,0,1,0,"$50  AND $100"
75,40.72613,-73.93915,1,1,1,1,0,0,1,0,0,"$50  AND $100"
168,40.78264,-73.97803,1,1,1,1,0,0,1,0,0,">  $100"
128,40.67771,-73.9815199999999,1,1.5,1,1,0,0,0,1,0,"$50  AND $100"
101,40.83479,-73.94345,1,1,4,1,0,1,0,1,0,"$30  AND $50"
80,40.80815,-73.94325,1,1,1,1,0,1,0,1,0,"$50  AND $100"
10,40.6831,-73.94434,1,1,2,1,0,0,1,0,0,"$50  AND $100"
80,40.80745,-73.94279,1,1,2,2,1,1,1,0,0,">  $100"
27,40.74119,-74.00234,1,1,1,1,0,0,1,0,0,">  $100"
18,40.66582,-73.99349,1,1,1,2,0,0,0,1,0,"$50  AND $100"
18,40.67173,-73.98968,1,1,1,1,0,1,0,1,0,"$30  AND $50"
136,40.77755,-73.90599,21,2,3,4,0,0,1,0,0,">  $100"
80,40.80815,-73.96779,1,2,2,2,0,1,1,0,0,">  $100"
18,40.63641,-73.96712,1,1,1,1,0,0,0,1,0,"$30  AND $50"
101,40.74568,-73.98321,1,1,1,1,0,0,1,0,0,">  $100"
80,40.80393,-73.94046,1,2,1,1,0,0,0,1,0,"$30  AND $50"
101,40.7116599999999,-73.9972,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.7880599999999,-73.97969,29,1,1,1,0,1,1,0,0,">  $100"
79,40.82393,-73.95308,1,1,1,1,0,0,0,1,0,"$50  AND $100"
42,40.67394,-73.95951,1,1,1,1,0,0,1,0,0,">  $100"
50,40.8035,-73.94041,1,1,1,1,0,0,0,1,0,"$30  AND $50"
